Name	Start	Duration	Time Format	Type	Description
Intro01	0:00.000	0:43.909	decimal	Cue	
Intro02a	0:45.675	0:10.690	decimal	Cue	
Intro02b	0:56.558	0:27.015	decimal	Cue	
Intro03	1:26.749	0:39.093	decimal	Cue	
